2008-10-23 17:04:38,140 INFO program starts at: 17:04:38 10/23/08 Eastern Daylight Time
2008-10-23 17:04:38,140 INFO total symbols to be processed is: [510]
2008-10-23 17:16:21,460 INFO Analysis for 20081023
2008-10-23 17:16:21,460 INFO total symbols to be processed is: [510]
2008-10-23 17:16:22,789 ERROR abnormalVol wrong with ^RUT
2008-10-23 17:16:22,789 ERROR <type 'exceptions.ZeroDivisionError'>
2008-10-23 17:16:22,789 ERROR float division
2008-10-23 17:16:22,803 INFO Abnormal Volume List [40]:
2008-10-23 17:16:22,803 INFO AMGN: price change 11.77%--volume change 1.63 : ('Healthcare', 'Biotechnology & Drugs')
2008-10-23 17:16:22,803 INFO CTXS: price change 10.77%--volume change 2.07 : ('Technology', 'Software & Programming')
2008-10-23 17:16:22,803 INFO DOW: price change 10.49%--volume change 1.76 : ('Basic Materials', 'Chemicals - Plastics & Rubber')
2008-10-23 17:16:22,803 INFO CELG: price change 8.93%--volume change 1.66 : ('Healthcare', 'Biotechnology & Drugs')
2008-10-23 17:16:22,803 INFO BCR: price change 6.88%--volume change 2.03 : ('Healthcare', 'Medical Equipment & Supplies')
2008-10-23 17:16:22,803 INFO DDR: price change 4.29%--volume change 5.54 : ('Services', 'Real Estate Operations')
2008-10-23 17:16:22,803 INFO PLD: price change 3.07%--volume change 2.87 : ('Services', 'Real Estate Operations')
2008-10-23 17:16:22,803 INFO PNW: price change 2.85%--volume change 1.74 : ('Utilities', 'Electric Utilities')
2008-10-23 17:16:22,803 INFO JEC: price change 2.26%--volume change 1.86 : ('Capital Goods', 'Construction Services')
2008-10-23 17:16:22,803 INFO AMZN: price change 0.66%--volume change 2.31 : ('Services', 'Retail (Specialty)')
2008-10-23 17:16:22,803 INFO ABI: price change -1.94%--volume change 1.76 : ('Technology', 'Scientific & Technical Instr.')
2008-10-23 17:16:22,803 INFO MOLX: price change -3.07%--volume change 1.54 : ('Technology', 'Electronic Instr. & Controls')
2008-10-23 17:16:22,803 INFO AOC: price change -3.16%--volume change 1.74 : ('Financial', 'Insurance (Miscellaneous)')
2008-10-23 17:16:22,803 INFO KIM: price change -3.69%--volume change 1.90 : ('Services', 'Real Estate Operations')
2008-10-23 17:16:22,803 INFO BUD: price change -3.89%--volume change 1.82 : ('Cons. Non-Cyclical', 'Beverages (Alcoholic)')
2008-10-23 17:16:22,803 INFO TYC: price change -4.36%--volume change 1.60 : ('Conglomerates', 'Conglomerates')
2008-10-23 17:16:22,803 INFO RHI: price change -5.31%--volume change 2.23 : ('Services', 'Business Services')
2008-10-23 17:16:22,803 INFO MTB: price change -5.33%--volume change 1.87 : ('Financial', 'Regional Banks')
2008-10-23 17:16:22,803 INFO MIL: price change -5.38%--volume change 1.62 : ('Technology', 'Scientific & Technical Instr.')
2008-10-23 17:16:22,803 INFO TMO: price change -6.39%--volume change 2.06 : ('Technology', 'Scientific & Technical Instr.')
2008-10-23 17:16:22,803 INFO AIZ: price change -6.95%--volume change 1.52 : ('Financial', 'Insurance (Accident & Health)')
2008-10-23 17:16:22,803 INFO JNY: price change -7.20%--volume change 1.63 : ('Cons. Cyclical', 'Apparel/Accessories')
2008-10-23 17:16:22,803 INFO AGN: price change -7.27%--volume change 1.79 : ('Healthcare', 'Biotechnology & Drugs')
2008-10-23 17:16:22,803 INFO PXD: price change -7.29%--volume change 1.85 : ('Energy', 'Oil & Gas Operations')
2008-10-23 17:16:22,803 INFO VRSN: price change -8.36%--volume change 2.13 : ('Technology', 'Software & Programming')
2008-10-23 17:16:22,803 INFO WAT: price change -8.73%--volume change 2.06 : ('Technology', 'Scientific & Technical Instr.')
2008-10-23 17:16:22,803 INFO BMC: price change -8.79%--volume change 1.83 : ('Technology', 'Software & Programming')
2008-10-23 17:16:22,803 INFO WFR: price change -9.10%--volume change 1.54 : ('Technology', 'Semiconductors')
2008-10-23 17:16:22,803 INFO UNM: price change -9.96%--volume change 2.02 : ('Financial', 'Insurance (Accident & Health)')
2008-10-23 17:16:22,803 INFO LM: price change -10.67%--volume change 1.99 : ('Financial', 'Investment Services')
2008-10-23 17:16:22,803 INFO PKI: price change -11.18%--volume change 1.61 : ('Technology', 'Scientific & Technical Instr.')
