2008-10-09 16:55:10,286 INFO program starts at: 16:55:10 10/09/08 Eastern Daylight Time
2008-10-09 16:55:10,286 INFO total symbols to be processed is: [510]
2008-10-09 17:04:50,259 INFO Analysis for 20081009
2008-10-09 17:04:50,275 INFO total symbols to be processed is: [510]
2008-10-09 17:04:51,525 ERROR abnormalVol wrong with ^RUT
2008-10-09 17:04:51,525 ERROR <type 'exceptions.ZeroDivisionError'>
2008-10-09 17:04:51,525 ERROR float division
2008-10-09 17:04:51,525 INFO Abnormal Volume List [27]:
2008-10-09 17:04:51,525 INFO MET: price change 3.70%--volume change 3.88 : ('Financial', 'Insurance (Miscellaneous)')
2008-10-09 17:04:51,525 INFO QLGC: price change -3.63%--volume change 1.85 : ('Technology', 'Semiconductors')
2008-10-09 17:04:51,525 INFO MHS: price change -4.19%--volume change 1.59 : ('Services', 'Retail (Drugs)')
2008-10-09 17:04:51,525 INFO RRD: price change -4.97%--volume change 2.08 : ('Services', 'Printing & Publishing')
2008-10-09 17:04:51,525 INFO TMK: price change -9.70%--volume change 2.39 : ('Financial', 'Insurance (Accident & Health)')
2008-10-09 17:04:51,525 INFO WLP: price change -9.74%--volume change 2.42 : ('Financial', 'Insurance (Accident & Health)')
2008-10-09 17:04:51,525 INFO HUM: price change -9.92%--volume change 1.68 : ('Financial', 'Insurance (Accident & Health)')
2008-10-09 17:04:51,525 INFO AET: price change -11.71%--volume change 1.98 : ('Financial', 'Insurance (Accident & Health)')
2008-10-09 17:04:51,525 INFO LLY: price change -12.35%--volume change 1.54 : ('Healthcare', 'Major Drugs')
2008-10-09 17:04:51,525 INFO CME: price change -12.39%--volume change 1.79 : ('Financial', 'Investment Services')
2008-10-09 17:04:51,525 INFO WPO: price change -12.48%--volume change 2.43 : ('Services', 'Printing & Publishing')
2008-10-09 17:04:51,525 INFO HRB: price change -12.55%--volume change 1.53 : ('Services', 'Personal Services')
2008-10-09 17:04:51,525 INFO TROW: price change -13.14%--volume change 1.57 : ('Financial', 'Investment Services')
2008-10-09 17:04:51,525 INFO BBT: price change -14.42%--volume change 1.52 : ('Financial', 'Regional Banks')
2008-10-09 17:04:51,525 INFO WFC: price change -14.58%--volume change 1.73 : ('Financial', 'Money Center Banks')
2008-10-09 17:04:51,525 INFO AN: price change -14.67%--volume change 1.65 : ('Services', 'Retail (Specialty)')
2008-10-09 17:04:51,525 INFO ANF: price change -14.83%--volume change 1.86 : ('Services', 'Retail (Apparel)')
2008-10-09 17:04:51,525 INFO STI: price change -16.77%--volume change 1.60 : ('Financial', 'Regional Banks')
2008-10-09 17:04:51,525 INFO AFL: price change -17.22%--volume change 2.32 : ('Financial', 'Insurance (Accident & Health)')
2008-10-09 17:04:51,525 INFO SLM: price change -18.47%--volume change 2.00 : ('Financial', 'Consumer Financial Services')
2008-10-09 17:04:51,525 INFO PRU: price change -23.15%--volume change 4.12 : ('Financial', 'Insurance (Life)')
2008-10-09 17:04:51,525 INFO SOV: price change -28.19%--volume change 1.54 : ('Financial', 'S&Ls/Savings Banks')
2008-10-09 17:04:51,525 INFO KEY: price change -28.67%--volume change 1.88 : ('Financial', 'Regional Banks')
2008-10-09 17:04:51,525 INFO UNM: price change -29.63%--volume change 2.33 : ('Financial', 'Insurance (Accident & Health)')
2008-10-09 17:04:51,525 INFO GM: price change -31.11%--volume change 2.25 : ('Cons. Cyclical', 'Auto & Truck Manufacturers')
2008-10-09 17:04:51,525 INFO LNC: price change -34.54%--volume change 3.11 : ('Financial', 'Insurance (Life)')
2008-10-09 17:04:51,525 INFO XL: price change -53.80%--volume change 4.91 : ('Financial', 'Insurance (Prop. & Casualty)')
2008-10-09 17:04:51,525 INFO NRD List: ['AMAT', 'DE', 'JDSU', 'LXK', 'MIL', 'NTAP', 'WU', 'GA']
