39546.0,261,232,5,498,1.125,0.0582329317269
39547.0,115,382,1,498,0.301047120419,-0.536144578313
39548.0,304,189,5,498,1.60846560847,0.230923694779
39549.0,152,342,4,498,0.444444444444,-0.381526104418
39552.0,216,278,4,498,0.776978417266,-0.124497991968
39553.0,242,252,4,498,0.960317460317,-0.0200803212851
39554.0,424,72,2,498,5.88888888889,0.706827309237
39555.0,291,202,4,497,1.44059405941,0.17907444668
39556.0,274,221,2,497,1.23981900452,0.106639839034
39559.0,250,242,5,497,1.03305785124,0.0160965794769
39560.0,101,390,6,497,0.258974358974,-0.581488933602
39561.0,256,237,4,497,1.08016877637,0.0382293762575
39562.0,314,183,0,497,1.71584699454,0.263581488934
39563.0,297,197,3,497,1.5076142132,0.201207243461
39566.0,230,264,3,497,0.871212121212,-0.0684104627767
39567.0,232,264,1,497,0.878787878788,-0.0643863179074
39568.0,135,356,6,497,0.379213483146,-0.444668008048
39569.0,418,76,3,497,5.5,0.688128772636
39570.0,169,327,1,497,0.516819571865,-0.317907444668
39573.0,216,279,2,497,0.774193548387,-0.12676056338
39574.0,414,76,7,497,5.44736842105,0.680080482897
39575.0,41,454,2,497,0.0903083700441,-0.830985915493
39576.0,233,261,3,497,0.892720306513,-0.056338028169
39577.0,305,189,3,497,1.61375661376,0.233400402414
39580.0,417,77,3,497,5.41558441558,0.684104627767
39581.0,216,276,5,497,0.782608695652,-0.120724346076
39582.0,303,189,5,497,1.60317460317,0.229376257545
39583.0,379,115,3,497,3.29565217391,0.531187122736
39584.0,199,295,3,497,0.674576271186,-0.193158953722
39587.0,233,262,2,497,0.889312977099,-0.0583501006036
39588.0,166,325,6,497,0.510769230769,-0.319919517103
39589.0,53,443,1,497,0.119638826185,-0.784708249497
39590.0,303,190,4,497,1.59473684211,0.227364185111
39591.0,77,415,5,497,0.185542168675,-0.680080482897
39595.0,371,122,4,497,3.04098360656,0.501006036217
39596.0,278,213,6,497,1.30516431925,0.130784708249
39597.0,368,127,2,497,2.89763779528,0.48490945674
39598.0,237,252,8,497,0.940476190476,-0.0301810865191
39601.0,103,392,2,497,0.262755102041,-0.581488933602
39602.0,145,351,1,497,0.413105413105,-0.414486921529
39603.0,332,159,6,497,2.08805031447,0.348088531187
39604.0,399,95,3,497,4.2,0.611670020121
