7/31/2008,1267.38,42
8/1/2008,1260.31,13
8/4/2008,1249.01,7
8/5/2008,1284.88,22
8/6/2008,1289.19,21
8/7/2008,1266.07,19
8/8/2008,1296.32,10
8/11/2008,1305.32,29
8/12/2008,1289.59,6
8/13/2008,1285.83,10
8/14/2008,1292.93,8
8/15/2008,1298.2,10
8/18/2008,1278.6,2
8/19/2008,1266.69,8
8/20/2008,1274.54,10
8/21/2008,1277.72,10
8/22/2008,1292.2,6
8/25/2008,1266.84,7
8/26/2008,1271.51,6
8/27/2008,1281.66,7
8/28/2008,1300.68,17
8/29/2008,1282.83,3
9/2/2008,1277.58,54
9/3/2008,1274.98,42
9/4/2008,1236.83,53
9/5/2008,1242.31,17
9/8/2008,1267.79,99
9/9/2008,1224.51,74
9/10/2008,1232.04,16
9/11/2008,1249.05,27
9/12/2008,1251.7,14
9/15/2008,1192.7,86
9/16/2008,1213.6,106
9/17/2008,1156.39,30
9/18/2008,1206.51,101
9/19/2008,1255.08,18
9/22/2008,1207.09,1
9/23/2008,1188.22,9
9/24/2008,1185.87,5
9/25/2008,1209.18,13
9/26/2008,1213.27,7
9/29/2008,1106.42,49
9/30/2008,1164.74,7
10/1/2008,1161.06,10
10/2/2008,1114.28,21
10/3/2008,1099.23,14
10/6/2008,1056.89,80
10/7/2008,996.23,6
10/8/2008,984.94,75
10/9/2008,909.92,27
10/10/2008,899.22,194
10/13/2008,1003.35,0
10/14/2008,998.01,36
10/15/2008,952.03,1
