Symbol,Company,Country,GICS,Sector,Price
SRE            ,Sempra Energy,US                ,55        ,Utilities,      56.94
SHW            ,Sherwin-Williams,US                ,25        ,Consumer Discretionary,      59.56
SIAL           ,Sigma-Aldrich,US                ,15        ,Materials,      52.38
SPG            ,Simon Property Group  Inc,US                ,40        ,Financials,      95.02
SLM            ,SLM Corporation,US                ,40        ,Financials,      15.39
SII            ,Smith International,US                ,10        ,Energy,      61.36
SNA            ,Snap-On Inc.,US                ,25        ,Consumer Discretionary,      57.73
SO             ,Southern Co.,US                ,55        ,Utilities,      37.71
LUV            ,Southwest Airlines,US                ,20        ,Industrials,      15.91
SWN            ,Southwestern Energy,US                ,10        ,Energy,      30.69
SOV            ,Sovereign Bancorp,US                ,40        ,Financials,       8.41
SE             ,Spectra Energy Corp.,US                ,10        ,Energy,      24.53
S              ,Sprint Nextel Corp.,US                ,50        ,Telecommunications Services,       7.27
STJ            ,St Jude Medical,US                ,35        ,Health Care,      44.51
SWK            ,Stanley Works,US                ,25        ,Consumer Discretionary,      46.85
SPLS           ,Staples Inc.,US                ,25        ,Consumer Discretionary,      24.37
SBUX           ,Starbucks Corp.,US                ,25        ,Consumer Discretionary,      15.06
HOT            ,Starwood Hotels & Resorts,US                ,25        ,Consumer Discretionary,      38.32
STT            ,State Street Corp.,US                ,40        ,Financials,      69.60
SYK            ,Stryker Corp.,US                ,35        ,Health Care,      64.91
JAVA           ,Sun Microsystems,US                ,45        ,Information Technology,       8.93
SUN            ,Sunoco  Inc.,US                ,10        ,Energy,      42.41
STI            ,SunTrust Banks,US                ,40        ,Financials,      45.25
SVU            ,Supervalu Inc.,US                ,30        ,Consumer Staples,      24.34
SYMC           ,Symantec Corp.,US                ,45        ,Information Technology,      20.50
SYY            ,Sysco Corp.,US                ,30        ,Consumer Staples,      34.00
TROW           ,T. Rowe Price Group,US                ,40        ,Financials,      58.16
TGT            ,Target Corp.,US                ,25        ,Consumer Discretionary,      56.74
TE             ,TECO Energy,US                ,55        ,Utilities,      16.30
TLAB           ,Tellabs  Inc.,US                ,45        ,Information Technology,       4.63
THC            ,Tenet Healthcare Corp.,US                ,35        ,Health Care,       6.08
TDC            ,Teradata Corp.,US                ,45        ,Information Technology,      23.72
TER            ,Teradyne Inc.,US                ,45        ,Information Technology,       8.96
TEX            ,Terex Corp.,US                ,20        ,Industrials,      35.80
TSO            ,Tesoro Petroleum Co.,US                ,10        ,Energy,      16.45
TXN            ,Texas Instruments,US                ,45        ,Information Technology,      21.85
TXT            ,Textron Inc.,US                ,20        ,Industrials,      37.66
HSY            ,The Hershey Company,US                ,30        ,Consumer Staples,      38.62
TRV            ,The Travelers Companies  Inc.,US                ,40        ,Financials,      44.20
TMO            ,Thermo Fisher Scientific,US                ,35        ,Health Care,      56.56
TIF            ,Tiffany & Co.,US                ,25        ,Consumer Discretionary,      43.84
TWX            ,Time Warner Inc.,US                ,25        ,Consumer Discretionary,      14.85
TIE            ,Titanium Metals Corp,US                ,15        ,Materials,      12.26
TJX            ,TJX Companies Inc.,US                ,25        ,Consumer Discretionary,      34.53
TMK            ,Torchmark Corp.,US                ,40        ,Financials,      60.82
TSS            ,Total System Services,US                ,45        ,Information Technology,      19.05
RIG            ,Transocean Inc. (New),US                ,10        ,Energy,     116.24
TEL            ,Tyco Electronics Ltd.,US                ,45        ,Information Technology,      30.17
TYC            ,Tyco International (New),US                ,20        ,Industrials,      40.18
TSN            ,Tyson Foods,US                ,30        ,Consumer Staples,      13.10
USB            ,U.S. Bancorp,US                ,40        ,Financials,      31.85
UNP            ,Union Pacific,US                ,20        ,Industrials,      73.81
UIS            ,Unisys Corp.,US                ,45        ,Information Technology,       3.84
UPS            ,United Parcel Service,US                ,20        ,Industrials,      66.69
X              ,United States Steel Corp.,US                ,15        ,Materials,     100.05
UTX            ,United Technologies,US                ,20        ,Industrials,      63.32
UNH            ,UnitedHealth Group Inc.,US                ,35        ,Health Care,      29.31
UNM            ,Unum Group,US                ,40        ,Financials,      25.69
UST            ,UST Inc.,US                ,30        ,Consumer Staples,      68.60
VFC            ,V.F. Corp.,US                ,25        ,Consumer Discretionary,      83.89
VLO            ,Valero Energy,US                ,10        ,Energy,      30.90
VAR            ,Varian Medical Systems,US                ,35        ,Health Care,      62.95
VRSN           ,Verisign Inc.,US                ,45        ,Information Technology,      26.77
VZ             ,Verizon Communications,US                ,50        ,Telecommunications Services,      34.72
VIA.B          ,Viacom Inc. (New),US                ,25        ,Consumer Discretionary,      27.04
VNO            ,Vornado Realty Trust,US                ,40        ,Financials,     101.35
VMC            ,Vulcan Materials,US                ,15        ,Materials,      73.14
WB             ,Wachovia Corp. (New),US                ,40        ,Financials,      15.08
WMT            ,Wal-Mart Stores,US                ,30        ,Consumer Staples,      62.02
WAG            ,Walgreen Co.,US                ,30        ,Consumer Staples,      35.75
DIS            ,Walt Disney Co.,US                ,25        ,Consumer Discretionary,      32.77
WM             ,Washington Mutual,US                ,40        ,Financials,       2.32
WPO            ,Washington Post,US                ,25        ,Consumer Discretionary,     598.16
WMI            ,Waste Management Inc.,US                ,20        ,Industrials,      34.78
WAT            ,Waters Corporation,US                ,35        ,Health Care,      62.16
WPI            ,Watson Pharmaceuticals,US                ,35        ,Health Care,      29.46
WFT            ,Weatherford International Ltd.,US                ,10        ,Energy,      29.66
WLP            ,WellPoint Inc.,US                ,35        ,Health Care,      49.17
WFC            ,Wells Fargo,US                ,40        ,Financials,      31.70
WEN            ,Wendy's International,US                ,25        ,Consumer Discretionary,      22.87
WU             ,Western Union Co,US                ,45        ,Information Technology,      25.71
WY             ,Weyerhaeuser Corp.,US                ,15        ,Materials,      55.18
WHR            ,Whirlpool Corp.,US                ,25        ,Consumer Discretionary,      86.90
WFMI           ,Whole Foods Market,US                ,30        ,Consumer Staples,      18.15
WMB            ,Williams Cos.,US                ,10        ,Energy,      26.09
WIN            ,Windstream Corporation,US                ,50        ,Telecommunications Services,      12.15
WWY            ,Wrigley (Wm) Jr.,US                ,30        ,Consumer Staples,      79.53
WYE            ,Wyeth,US                ,35        ,Health Care,      39.88
WYN            ,Wyndham Worldwide,US                ,25        ,Consumer Discretionary,      19.88
XEL            ,Xcel Energy Inc,US                ,55        ,Utilities,      20.25
XRX            ,Xerox Corp.,US                ,45        ,Information Technology,      13.58
XLNX           ,Xilinx  Inc,US                ,45        ,Information Technology,      23.07
XL             ,XL Capital,US                ,40        ,Financials,      19.03
XTO            ,XTO Energy Inc.,US                ,10        ,Energy,      47.18
YHOO           ,Yahoo Inc.,US                ,45        ,Information Technology,      17.70
YUM            ,Yum! Brands  Inc,US                ,25        ,Consumer Discretionary,      38.02
ZMH            ,Zimmer Holdings,US                ,35        ,Health Care,      71.10
ZION           ,Zions Bancorp,US                ,40        ,Financials,      32.58


