Symbol,Company,Country,GICS,Sector,Price
CTL            ,Century Telephone,US                ,50        ,Telecommunications Services,      39.64
CF             ,CF Industries Holdings Inc,US                ,15        ,Materials,     109.61
SCHW           ,Charles Schwab,US                ,40        ,Financials,      23.79
CHK            ,Chesapeake Energy,US                ,10        ,Energy,      40.15
CVX            ,Chevron Corp.,US                ,10        ,Energy,      81.16
CB             ,Chubb Corp.,US                ,40        ,Financials,      49.22
CIEN           ,Ciena Corp.,US                ,45        ,Information Technology,      11.41
CI             ,CIGNA Corp.,US                ,35        ,Health Care,      39.92
CINF           ,Cincinnati Financial,US                ,40        ,Financials,      29.46
CTAS           ,Cintas Corporation,US                ,20        ,Industrials,      31.31
CSCO           ,Cisco Systems,US                ,45        ,Information Technology,      22.99
CIT            ,CIT Group,US                ,40        ,Financials,      10.58
C              ,Citigroup Inc.,US                ,40        ,Financials,      18.68
CTXS           ,Citrix Systems,US                ,45        ,Information Technology,      27.62
CLX            ,Clorox Co.,US                ,30        ,Consumer Staples,      62.75
CME            ,CME Group Inc.,US                ,40        ,Financials,     332.21
CMS            ,CMS Energy,US                ,55        ,Utilities,      13.55
COH            ,Coach  Inc.,US                ,25        ,Consumer Discretionary,      29.30
KO             ,Coca Cola Co.,US                ,30        ,Consumer Staples,      53.81
CCE            ,Coca-Cola Enterprises,US                ,30        ,Consumer Staples,      17.07
CTSH           ,Cognizant Technology Solutions,US                ,45        ,Information Technology,      27.82
CL             ,Colgate-Palmolive,US                ,30        ,Consumer Staples,      78.20
CMCSA          ,Comcast Corp.,US                ,25        ,Consumer Discretionary,      21.12
CMA            ,Comerica Inc.,US                ,40        ,Financials,      31.59
CSC            ,Computer Sciences Corp.,US                ,45        ,Information Technology,      44.54
CPWR           ,Compuware Corp.,US                ,45        ,Information Technology,      10.94
CAG            ,ConAgra Foods  Inc.,US                ,30        ,Consumer Staples,      19.80
COP            ,ConocoPhillips,US                ,10        ,Energy,      71.87
CNX            ,CONSOL Energy Inc.,US                ,10        ,Energy,      52.39
ED             ,Consolidated Edison,US                ,55        ,Utilities,      42.90
STZ            ,Constellation Brands,US                ,30        ,Consumer Staples,      22.63
CEG            ,Constellation Energy Group,US                ,55        ,Utilities,      59.14
CVG            ,Convergys Corp.,US                ,45        ,Information Technology,      16.53
CBE            ,Cooper Industries  Ltd.,US                ,20        ,Industrials,      45.43
GLW            ,Corning Inc.,US                ,45        ,Information Technology,      16.22
COST           ,Costco Co.,US                ,30        ,Consumer Staples,      69.43
CVH            ,Coventry Health Care Inc.,US                ,35        ,Health Care,      34.99
COV            ,Covidien Ltd.,US                ,35        ,Health Care,      55.09
CSX            ,CSX Corp.,US                ,20        ,Industrials,      54.85
CMI            ,Cummins  Inc.,US                ,20        ,Industrials,      56.64
CVS            ,CVS Caremark Corp.,US                ,30        ,Consumer Staples,      36.85
DHI            ,D.R. Horton,US                ,25        ,Consumer Discretionary,      13.22
DHR            ,Danaher Corp.,US                ,20        ,Industrials,      77.19
DRI            ,Darden Restaurants,US                ,25        ,Consumer Discretionary,      30.52
DVA            ,DaVita Inc.,US                ,35        ,Health Care,      56.70
DF             ,Dean Foods,US                ,30        ,Consumer Staples,      23.84
DE             ,Deere & Co.,US                ,20        ,Industrials,      59.75
DELL           ,Dell Inc.,US                ,45        ,Information Technology,      19.31
DDR            ,Developers Diversified Rlty,US                ,40        ,Financials,      35.45
DVN            ,Devon Energy Corp.,US                ,10        ,Energy,      91.67
DDS            ,Dillard Inc.,US                ,25        ,Consumer Discretionary,      13.40
DTV            ,DIRECTV Group Inc.,US                ,25        ,Consumer Discretionary,      27.07
DFS            ,Discover Financial Services,US                ,40        ,Financials,      16.81
D              ,Dominion Resources,US                ,55        ,Utilities,      42.30
RRD            ,Donnelley (R.R.) & Sons,US                ,20        ,Industrials,      27.14
DOV            ,Dover Corp.,US                ,20        ,Industrials,      45.62
DOW            ,Dow Chemical,US                ,15        ,Materials,      34.83
DTE            ,DTE Energy Co.,US                ,55        ,Utilities,      43.52
DD             ,Du Pont (E.I.),US                ,15        ,Materials,      44.36
DUK            ,Duke Energy,US                ,55        ,Utilities,      17.87
DYN            ,Dynegy Inc.,US                ,55        ,Utilities,       4.74
ETFC           ,E*Trade Financial Corp.,US                ,40        ,Financials,       3.03
EMN            ,Eastman Chemical,US                ,15        ,Materials,      57.16
EK             ,Eastman Kodak,US                ,25        ,Consumer Discretionary,      15.12
ETN            ,Eaton Corp.,US                ,20        ,Industrials,      69.94
EBAY           ,eBay Inc.,US                ,45        ,Information Technology,      23.37
ECL            ,Ecolab Inc.,US                ,15        ,Materials,      46.97
EIX            ,Edison Int'l,US                ,55        ,Utilities,      41.77
EP             ,El Paso Corp.,US                ,10        ,Energy,      14.14
ERTS           ,Electronic Arts,US                ,45        ,Information Technology,      45.63
EQ             ,Embarq Corporation,US                ,50        ,Telecommunications Services,      45.78
EMC            ,EMC Corp.,US                ,45        ,Information Technology,      14.00
EMR            ,Emerson Electric,US                ,20        ,Industrials,      43.61
ESV            ,ENSCO Int'l,US                ,10        ,Energy,      59.37
ETR            ,Entergy Corp.,US                ,55        ,Utilities,      95.90
EOG            ,EOG Resources,US                ,10        ,Energy,      87.82
EFX            ,Equifax Inc.,US                ,20        ,Industrials,      36.29
EQR            ,Equity Residential,US                ,40        ,Financials,      42.46
EL             ,Estee Lauder Cos.,US                ,30        ,Consumer Staples,      51.93
EXC            ,Exelon Corp.,US                ,55        ,Utilities,      64.23
EXPE           ,Expedia Inc.,US                ,25        ,Consumer Discretionary,      17.12
EXPD           ,Expeditors Int'l,US                ,20        ,Industrials,      34.76
ESRX           ,Express Scripts,US                ,35        ,Health Care,      72.90
XOM            ,Exxon Mobil Corp.,US                ,10        ,Energy,      75.25
FDO            ,Family Dollar Stores,US                ,25        ,Consumer Discretionary,      26.96
FII            ,Federated Investors Inc.,US                ,40        ,Financials,      31.61
FDX            ,FedEx Corporation,US                ,20        ,Industrials,      87.86
FIS            ,Fidelity National Information Services,US                ,45        ,Information Technology,      21.58
FITB           ,Fifth Third Bancorp,US                ,40        ,Financials,      14.85
FHN            ,First Horizon National,US                ,40        ,Financials,      10.82
FE             ,FirstEnergy Corp.,US                ,55        ,Utilities,      66.62
FISV           ,FIserv Inc.,US                ,45        ,Information Technology,      51.90
FLR            ,Fluor Corp. (New),US                ,20        ,Industrials,      59.80
F              ,Ford Motor,US                ,25        ,Consumer Discretionary,       4.47
FRX            ,Forest Laboratories,US                ,35        ,Health Care,      30.00
FO             ,Fortune Brands  Inc.,US                ,25        ,Consumer Discretionary,      61.22
FPL            ,FPL Group,US                ,55        ,Utilities,      54.78
BEN            ,Franklin Resources,US                ,40        ,Financials,      96.82
FCX            ,Freeport-McMoran Cp & Gld,US                ,15        ,Materials,      69.18
FTR            ,Frontier Communications,US                ,50        ,Telecommunications Services,      12.32
GME            ,GameStop Corp.,US                ,25        ,Consumer Discretionary,      42.76
GCI            ,Gannett Co.,US                ,25        ,Consumer Discretionary,      17.52
GPS            ,Gap (The),US                ,25        ,Consumer Discretionary,      19.32
GD             ,General Dynamics,US                ,20        ,Industrials,      83.02
GE             ,General Electric,US                ,20        ,Industrials,      28.09
GIS            ,General Mills,US                ,30        ,Consumer Staples,      67.68
GM             ,General Motors,US                ,25        ,Consumer Discretionary,      11.42
GGP            ,Genl Growth Properties,US                ,40        ,Financials,      25.98
GPC            ,Genuine Parts,US                ,25        ,Consumer Discretionary,      42.13
GNW            ,Genworth Financial Inc.,US                ,40        ,Financials,      15.57
GENZ           ,Genzyme Corp.,US                ,35        ,Health Care,      79.75
GILD           ,Gilead Sciences,US                ,35        ,Health Care,      46.82
GS             ,Goldman Sachs Group,US                ,40        ,Financials,     157.59
GR             ,Goodrich Corporation,US                ,20        ,Industrials,      50.00
GT             ,Goodyear Tire & Rubber,US                ,25        ,Consumer Discretionary,      17.32
GOOG           ,Google Inc.,US                ,45        ,Information Technology,     414.16
GWW            ,Grainger (W.W.) Inc.,US                ,20        ,Industrials,      88.39
HAL            ,Halliburton Co.,US                ,10        ,Energy,      35.58
HOG            ,Harley-Davidson,US                ,25        ,Consumer Discretionary,      41.45
HAR            ,Harman Int'l Industries,US                ,25        ,Consumer Discretionary,      33.26
HIG            ,Hartford Financial Svc.Gp.,US                ,40        ,Financials,      62.03
HAS            ,Hasbro Inc.,US                ,25        ,Consumer Discretionary,      38.44
HCP            ,HCP  Inc.,US                ,40        ,Financials,      34.28
HNZ            ,Heinz (H.J.),US                ,30        ,Consumer Staples,      52.44
HPC            ,Hercules  Inc.,US                ,15        ,Materials,      21.54
HES            ,Hess Corporation,US                ,10        ,Energy,      85.67
HPQ            ,Hewlett-Packard,US                ,45        ,Information Technology,      46.76
HD             ,Home Depot,US                ,25        ,Consumer Discretionary,      29.10
HON            ,Honeywell Int'l Inc.,US                ,20        ,Industrials,      47.56
HSP            ,Hospira Inc.,US                ,35        ,Health Care,      39.46
HST            ,Host Hotels & Resorts,US                ,40        ,Financials,      14.96
HCBK           ,Hudson City Bancorp,US                ,40        ,Financials,      18.16
HUM            ,Humana Inc.,US                ,35        ,Health Care,      45.72
HBAN           ,Huntington Bancshares,US                ,40        ,Financials,       8.06
ITW            ,Illinois Tool Works,US                ,20        ,Industrials,      48.19
RX             ,IMS Health Inc.,US                ,35        ,Health Care,      21.05
IR             ,Ingersoll-Rand Co. Ltd.,US                ,20        ,Industrials,      35.01
TEG            ,Integrys Energy Group  Inc.,US                ,55        ,Utilities,      51.97
INTC           ,Intel Corp.,US                ,45        ,Information Technology,      20.16
ICE            ,IntercontinentalExchange Inc.,US                ,40        ,Financials,      90.63
IBM            ,International Bus. Machines,US                ,45        ,Information Technology,     118.04
IFF            ,International Flav/Frag,US                ,15        ,Materials,      41.20
IGT            ,International Game Technology,US                ,25        ,Consumer Discretionary,      19.95
IP             ,International Paper,US                ,15        ,Materials,      29.67
IPG            ,Interpublic Group,US                ,25        ,Consumer Discretionary,       8.85
INTU           ,Intuit  Inc.,US                ,45        ,Information Technology,      30.17
ISRG           ,Intuitive Surgical Inc.,US                ,35        ,Health Care,     273.94
IVZ            ,Invesco Ltd,US                ,40        ,Financials,      24.15
ITT            ,ITT Corporation,US                ,20        ,Industrials,      59.79
JBL            ,Jabil Circuit,US                ,45        ,Information Technology,      12.81
JEC            ,Jacobs Engineering Group,US                ,20        ,Industrials,      60.06
JNS            ,Janus Capital Group,US                ,40        ,Financials,      23.48
JDSU           ,JDS Uniphase Corp.,US                ,45        ,Information Technology,       9.58
JNJ            ,Johnson & Johnson,US                ,35        ,Health Care,      71.23
JCI            ,Johnson Controls,US                ,25        ,Consumer Discretionary,      30.40
JNY            ,Jones Apparel Group,US                ,25        ,Consumer Discretionary,      21.10
JPM            ,JPMorgan Chase & Co.,US                ,40        ,Financials,      39.40
JNPR           ,Juniper Networks,US                ,45        ,Information Technology,      25.28
KBH            ,KB Home,US                ,25        ,Consumer Discretionary,      21.82
K              ,Kellogg Co.,US                ,30        ,Consumer Staples,      55.43
KEY            ,KeyCorp,US                ,40        ,Financials,      12.56
KMB            ,Kimberly-Clark,US                ,30        ,Consumer Staples,      64.36
KIM            ,Kimco Realty,US                ,40        ,Financials,      37.26
KG             ,King Pharmaceuticals,US                ,35        ,Health Care,      11.25
KLAC           ,KLA-Tencor Corp.,US                ,45        ,Information Technology,      33.66
KSS            ,Kohl's Corp.,US                ,25        ,Consumer Discretionary,      52.44
KFT            ,Kraft Foods Inc-A,US                ,30        ,Consumer Staples,      32.79
KR             ,Kroger Co.,US                ,30        ,Consumer Staples,      27.98
LLL            ,L-3 Communications Holdings,US                ,20        ,Industrials,     102.44
LH             ,Laboratory Corp. of America Holding,US                ,35        ,Health Care,      74.00
LM             ,Legg Mason,US                ,40        ,Financials,      42.75
LEG            ,Leggett & Platt,US                ,25        ,Consumer Discretionary,      23.37
LEH            ,Lehman Bros.,US                ,40        ,Financials,       7.25
LEN            ,Lennar Corp.,US                ,25        ,Consumer Discretionary,      13.34
LUK            ,Leucadia National Corp.,US                ,40        ,Financials,      42.08
LXK            ,Lexmark Int'l Inc,US                ,45        ,Information Technology,      34.95
LLY            ,Lilly (Eli) & Co.,US                ,35        ,Health Care,      46.73
LTD            ,Limited Brands  Inc.,US                ,25        ,Consumer Discretionary,      21.06
LNC            ,Lincoln National,US                ,40        ,Financials,      50.53
LLTC           ,Linear Technology Corp.,US                ,45        ,Information Technology,      29.66
LIZ            ,Liz Claiborne  Inc.,US                ,25        ,Consumer Discretionary,      18.64
LMT            ,Lockheed Martin Corp.,US                ,20        ,Industrials,     114.09
L              ,Loews Corp.,US                ,40        ,Financials,      41.55
LO             ,Lorillard Inc.,US                ,30        ,Consumer Staples,      73.30
LOW            ,Lowe's Cos.,US                ,25        ,Consumer Discretionary,      25.23
LSI            ,LSI Corporation,US                ,45        ,Information Technology,       6.26
MTB            ,M&T Bank Corp.,US                ,40        ,Financials,      74.75
M              ,Macy's Inc.,US                ,25        ,Consumer Discretionary,      21.88
MTW            ,Manitowoc Co.,US                ,20        ,Industrials,      20.04
MRO            ,Marathon Oil Corp.,US                ,10        ,Energy,      42.02
MAR            ,Marriott Int'l.,US                ,25        ,Consumer Discretionary,      28.81
MMC            ,Marsh & McLennan,US                ,40        ,Financials,      32.31
MI             ,Marshall & Ilsley Corp.,US                ,40        ,Financials,      16.97
MAS            ,Masco Corp.,US                ,20        ,Industrials,      19.01
